Дата,Лег,Уснул,Проснулся,Встал,Не спал,Время сна,Время в кровати,Эффективность сна
2021-12-08,00:03,00:15,09:07,09:15,6,526,552,95.29
2021-12-11,00:02,00:02,01:02,01:06,9,51,64,79.69
2021-12-14,01:55,02:20,07:57,08:07,5,332,372,89.25
2021-12-15,01:10,01:30,10:00,10:30,5,505,560,90.18
2021-12-16,04:10,04:20,11:50,12:15,80,370,485,76.29
2021-12-17,03:40,03:55,09:45,09:56,15,335,376,89.1
2021-12-18,04:10,04:25,14:05,14:20,20,560,610,91.8
2021-12-19,03:34,04:10,10:30,10:37,5,375,423,88.65
2021-12-20,02:25,02:55,09:10,09:10,5,370,405,91.36
2021-12-21,02:10,02:25,09:55,10:10,25,425,480,88.54
2021-12-22,02:05,02:20,09:15,09:50,5,410,465,88.17
2021-12-23,02:10,02:25,09:10,09:40,5,400,450,88.89
2021-12-24,02:45,03:00,11:30,11:40,10,500,535,93.46
2021-12-25,02:50,03:10,10:30,10:45,10,430,475,90.53
2021-12-26,03:15,03:30,09:55,10:05,5,380,410,92.68
2022-02-11,00:01,00:10,07:07,07:18,10,407,437,93.14
2022-02-12,00:01,00:09,08:05,09:15,6,470,554,84.84
2022-02-14,00:01,00:03,08:05,08:17,6,476,496,95.97
2022-02-15,00:01,00:03,08:05,08:17,6,476,496,95.97
2022-02-16,00:01,00:03,08:05,08:17,6,476,496,95.97
2022-02-17,00:01,00:03,08:05,08:17,6,476,496,95.97
2022-02-18,01:00,01:03,06:00,05:06,5,292,246,118.7
2022-02-19,01:00,01:04,06:06,06:08,4,298,308,96.75
2022-02-21,01:00,01:03,10:00,10:06,5,532,546,97.44
2022-02-22,01:00,01:03,06:00,06:07,5,292,307,95.11
